rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,gender,firstName,gdp_country,wealth_per_capita,age_at_2024,cpi_change_percentage,education_enrollment_ratio,tax_revenue_percentage_gdp,total_tax_rate_percentage
1,8250.0,Fashion & Retail,Bernard Arnault & family,74.0,France,LVMH,Fashion & Retail,LVMH Moët Hennessy Louis Vuitton,0,M,Bernard,"$2,715,518,274,227 ",0.0001230243647741309,75.0,0.9995456610631533,63.99999999999999,0.29333333333333333,0.7357575757575758
2,8250.0,Automotive,Elon Musk,51.0,United States,"Tesla, SpaceX",Automotive,Tesla,1,M,Elon,"$21,427,700,000,000 ",2.5134084782349625e-05,53.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
3,8250.0,Technology,Jeff Bezos,59.0,United States,Amazon,Technology,Amazon,1,M,Jeff,"$21,427,700,000,000 ",2.5134084782349625e-05,60.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
4,8250.0,Technology,Larry Ellison,78.0,United States,Oracle,Technology,Oracle,1,M,Larry,"$21,427,700,000,000 ",2.5134084782349625e-05,80.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
5,8250.0,Finance & Investments,Warren Buffett,92.0,United States,Berkshire Hathaway,Finance & Investments,Berkshire Hathaway Inc. (Cl A),1,M,Warren,"$21,427,700,000,000 ",2.5134084782349625e-05,94.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
6,8250.0,Technology,Bill Gates,67.0,United States,Microsoft,Technology,Bill & Melinda Gates Foundation,1,M,Bill,"$21,427,700,000,000 ",2.5134084782349625e-05,69.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
7,8250.0,Media & Entertainment,Michael Bloomberg,81.0,United States,Bloomberg LP,Media & Entertainment,Bloomberg,1,M,Michael,"$21,427,700,000,000 ",2.5134084782349625e-05,82.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
8,8250.0,Telecom,Carlos Slim Helu & family,83.0,Mexico,Telecom,Telecom,América Móvil,1,M,Carlos,"$1,258,286,717,125 ",6.546890368329163e-05,84.0,2.5434506146672318,37.99621928166352,0.15878787878787878,0.6678787878787878
9,8250.0,Diversified,Mukesh Ambani,65.0,India,Diversified,Diversified,Reliance Industries,0,M,Mukesh,"$2,611,000,000,000 ",6.0376850167887966e-06,67.0,4.267346486366659,24.867256637168143,0.13575757575757574,0.6024242424242425
10,8250.0,Technology,Steve Ballmer,67.0,United States,Microsoft,Technology,Los Angeles Clippers,1,M,Steve,"$21,427,700,000,000 ",2.5134084782349625e-05,68.0,6.397134083930399,86.64047151277015,0.11636363636363636,0.44363636363636366
